Reg_ID,State,District,Vehicle_Type,Manufacturer,Model,Price,Battery_Capacity,Range_KM,Registration_Date
1,Tamil Nadu,District-25,3W,Piaggio,Model-8,346647,44,370,2023-04-27
2,Maharashtra,District-15,4W,Hyundai,Model-19,1416080,4,184,2024-09-03
3,Uttar Pradesh,District-36,3W,Mahindra,Model-10,212602,52,113,2025-08-07
4,Kerala,District-39,2W,Ather,Model-13,137174,37,125,2023-09-12
5,Delhi,District-39,2W,TVS,Model-20,173587,5,256,2024-11-23
6,Maharashtra,District-19,2W,Ola Electric,Model-4,166237,60,50,2025-06-29
7,Uttar Pradesh,District-32,2W,Ola Electric,Model-19,153395,29,167,2023-10-13
8,Gujarat,District-28,2W,Ather,Model-8,155224,17,564,2023-04-10
9,Maharashtra,District-23,2W,Bajaj,Model-12,178425,41,342,2025-03-19
10,Karnataka,District-23,2W,Ather,Model-11,149651,12,588,2025-05-22
11,Delhi,District-1,2W,Bajaj,Model-14,169622,51,438,2025-03-04
12,Maharashtra,District-46,4W,Hyundai,Model-18,1382797,43,418,2023-10-26
13,Gujarat,District-6,2W,Ola Electric,Model-11,100464,15,584,2025-09-07
14,Kerala,District-13,Bus,Ashok Leyland,Model-3,5192936,48,364,2024-09-20
15,Delhi,District-16,3W,Kinetic,Model-16,322469,48,336,2025-02-10
16,Gujarat,District-19,2W,Bajaj,Model-2,90786,34,361,2023-02-03
17,Karnataka,District-6,2W,Ather,Model-16,99301,45,397,2023-09-26
18,Karnataka,District-11,2W,Ola Electric,Model-20,96682,11,386,2025-04-24
19,Delhi,District-1,2W,Ola Electric,Model-14,179795,5,224,2025-12-19
20,Delhi,District-15,2W,TVS,Model-4,91537,44,401,2024-02-25
21,Delhi,District-24,2W,Ola Electric,Model-1,129833,27,233,2023-05-25
22,Kerala,District-30,2W,Bajaj,Model-16,124003,35,425,2023-07-14
23,Kerala,District-49,3W,Mahindra,Model-5,217342,33,180,2023-10-25
24,Gujarat,District-50,2W,TVS,Model-9,145771,39,195,2025-12-10
25,Karnataka,District-45,2W,Ather,Model-9,103072,16,138,2024-06-03
26,Gujarat,District-14,3W,Mahindra,Model-12,201433,8,60,2023-12-18
27,Tamil Nadu,District-43,3W,Kinetic,Model-18,242072,17,362,2024-10-26
28,Uttar Pradesh,District-27,3W,Piaggio,Model-5,321896,32,405,2025-03-31
29,Maharashtra,District-33,2W,Ather,Model-20,119336,6,89,2023-11-08
30,Tamil Nadu,District-18,4W,MG,Model-10,1629320,58,567,2025-06-15
31,Tamil Nadu,District-9,2W,TVS,Model-8,162730,23,350,2025-01-18
32,Tamil Nadu,District-35,2W,TVS,Model-8,108058,15,97,2025-05-09
33,Rajasthan,District-4,2W,TVS,Model-5,136181,27,133,2024-07-25
34,Maharashtra,District-20,2W,Ola Electric,Model-19,126104,8,533,2025-10-02
35,Tamil Nadu,District-1,4W,Mahindra,Model-7,924583,58,292,2025-12-03
36,Rajasthan,District-34,3W,Mahindra,Model-17,283437,9,75,2025-07-07
37,Gujarat,District-39,3W,Mahindra,Model-20,282201,59,552,2025-02-18
38,Tamil Nadu,District-28,2W,Ola Electric,Model-17,142347,30,334,2025-12-25
39,Karnataka,District-50,2W,Bajaj,Model-8,178056,7,110,2023-12-24
40,Maharashtra,District-49,2W,Ather,Model-15,105917,34,558,2025-06-24
41,Kerala,District-32,2W,Ola Electric,Model-4,158908,58,363,2025-02-24
42,Rajasthan,District-39,2W,TVS,Model-19,172943,58,308,2024-11-15
43,Rajasthan,District-48,2W,Ather,Model-13,161858,39,202,2025-07-17
44,Maharashtra,District-8,4W,Mahindra,Model-2,1426772,16,48,2023-10-13
45,Karnataka,District-22,2W,Bajaj,Model-9,126321,48,502,2023-10-29
46,Tamil Nadu,District-44,Bus,Ashok Leyland,Model-16,3006669,53,114,2023-09-23
47,Karnataka,District-36,Bus,Tata Motors,Model-1,3155148,37,508,2025-02-09
48,Delhi,District-46,2W,TVS,Model-6,161681,59,268,2024-12-23
49,Karnataka,District-28,2W,Ather,Model-18,149663,41,444,2025-12-20
50,Gujarat,District-18,2W,TVS,Model-2,132615,45,199,2023-11-22
51,Maharashtra,District-42,2W,TVS,Model-15,137433,59,394,2025-02-16
52,Rajasthan,District-14,2W,Ola Electric,Model-14,107271,36,447,2025-03-24
53,Delhi,District-11,2W,Ola Electric,Model-18,151718,14,308,2023-06-15
54,Karnataka,District-38,2W,Ola Electric,Model-4,132036,2,461,2025-07-01
55,Maharashtra,District-27,4W,Mahindra,Model-3,1878491,41,260,2024-09-01
56,Gujarat,District-30,Cargo,Euler,Model-3,391387,43,595,2025-09-11
57,Tamil Nadu,District-43,2W,Ather,Model-16,107522,12,291,2024-01-14
58,Haryana,District-37,2W,Ather,Model-20,143370,49,595,2023-08-16
59,Delhi,District-45,2W,Ola Electric,Model-10,103901,43,453,2025-07-01
60,Tamil Nadu,District-42,2W,TVS,Model-1,119229,36,210,2023-01-01
61,Gujarat,District-24,2W,Ather,Model-4,141901,11,499,2023-01-23
62,Delhi,District-25,3W,Piaggio,Model-9,209801,5,523,2025-10-23
63,Karnataka,District-17,4W,Mahindra,Model-10,855987,3,442,2024-07-12
64,Karnataka,District-50,2W,Ola Electric,Model-20,118586,43,339,2024-03-03
65,Maharashtra,District-25,2W,Ather,Model-14,164980,8,453,2023-03-26
66,Tamil Nadu,District-48,3W,Piaggio,Model-19,344019,14,532,2025-10-27
67,Karnataka,District-23,Cargo,Euler,Model-11,469756,50,124,2023-01-21
68,Karnataka,District-43,2W,Ola Electric,Model-13,91799,46,143,2023-11-26
69,Maharashtra,District-39,2W,Ather,Model-3,161715,58,248,2025-04-17
70,Telangana,District-36,2W,Bajaj,Model-2,109356,59,201,2024-11-27
71,Karnataka,District-28,2W,TVS,Model-9,175207,47,307,2025-02-18
72,Tamil Nadu,District-20,3W,Kinetic,Model-8,269624,42,123,2025-01-08
73,Karnataka,District-35,2W,Bajaj,Model-8,147457,44,301,2024-02-28
74,Delhi,District-19,Bus,Tata Motors,Model-1,8529200,4,98,2025-03-18
75,Karnataka,District-50,4W,Mahindra,Model-5,1393911,54,486,2023-12-24
76,Maharashtra,District-44,2W,Ola Electric,Model-18,106288,51,330,2023-09-13
77,Gujarat,District-16,2W,Ather,Model-16,135836,21,564,2024-04-25
78,Tamil Nadu,District-49,Bus,Tata Motors,Model-19,3174892,53,333,2023-05-01
79,Tamil Nadu,District-41,2W,Bajaj,Model-17,129877,16,391,2024-09-24
80,Delhi,District-21,4W,Mahindra,Model-14,1529249,4,512,2023-01-05
81,Karnataka,District-38,4W,Hyundai,Model-11,1570789,27,311,2024-01-15
82,Maharashtra,District-50,2W,TVS,Model-8,127601,42,308,2025-03-07
83,Maharashtra,District-21,2W,TVS,Model-7,103046,31,83,2023-06-12
84,Tamil Nadu,District-25,4W,MG,Model-9,1736656,18,91,2025-08-27
85,Maharashtra,District-8,2W,Ather,Model-4,100078,17,208,2024-10-16
86,Maharashtra,District-28,2W,Ola Electric,Model-6,156578,38,518,2024-04-24
87,Tamil Nadu,District-21,4W,Tata,Model-8,1439423,15,522,2024-06-23
88,Delhi,District-13,2W,Bajaj,Model-18,106482,21,448,2025-06-27
89,Uttar Pradesh,District-40,4W,Mahindra,Model-19,826460,38,566,2023-11-25
90,Tamil Nadu,District-8,3W,Piaggio,Model-17,264474,59,152,2023-10-05
91,Maharashtra,District-20,3W,Mahindra,Model-12,320620,47,83,2024-08-11
92,Kerala,District-45,2W,Bajaj,Model-2,129823,58,188,2024-12-17
93,Karnataka,District-39,2W,Ather,Model-18,118942,52,471,2023-09-25
94,Delhi,District-4,2W,Bajaj,Model-19,158251,43,483,2024-03-04
95,Karnataka,District-34,3W,Mahindra,Model-15,214442,7,359,2024-08-30
96,Karnataka,District-31,2W,Ola Electric,Model-5,97100,57,557,2023-11-05
97,Uttar Pradesh,District-37,3W,Mahindra,Model-13,307999,14,162,2023-08-16
98,Karnataka,District-4,2W,Bajaj,Model-15,162066,60,507,2025-05-08
99,Delhi,District-7,2W,Ola Electric,Model-1,153084,7,367,2023-05-01
100,Gujarat,District-17,3W,Piaggio,Model-9,347489,28,58,2024-10-15
101,Gujarat,District-39,2W,TVS,Model-7,146823,25,257,2025-12-14
102,Tamil Nadu,District-2,2W,TVS,Model-2,168049,10,215,2023-02-22
103,Gujarat,District-48,2W,TVS,Model-4,170787,22,450,2024-04-19
104,Karnataka,District-16,2W,TVS,Model-17,162847,21,283,2023-10-25
105,Maharashtra,District-31,2W,Ather,Model-20,174974,43,59,2024-01-01
106,Karnataka,District-35,2W,Ola Electric,Model-15,146613,2,101,2025-01-12
107,Tamil Nadu,District-24,2W,Bajaj,Model-15,121074,8,280,2025-04-06
108,Maharashtra,District-37,4W,Mahindra,Model-18,1692080,17,426,2024-07-12
109,Delhi,District-37,2W,TVS,Model-11,173856,14,392,2024-10-07
110,Maharashtra,District-1,3W,Kinetic,Model-17,248496,7,94,2024-04-15
111,Delhi,District-50,2W,Ather,Model-15,144699,8,202,2024-08-17
112,Tamil Nadu,District-41,2W,Ather,Model-4,92007,29,241,2023-07-11
113,Delhi,District-38,2W,Ather,Model-9,155804,54,567,2023-08-09
114,Gujarat,District-50,3W,Mahindra,Model-4,278149,39,94,2024-05-02
115,Karnataka,District-19,3W,Mahindra,Model-16,327718,9,133,2025-06-06
116,Rajasthan,District-23,2W,Ather,Model-17,142482,20,124,2025-01-26
117,Maharashtra,District-15,2W,Bajaj,Model-2,153805,41,577,2025-11-05
118,Maharashtra,District-28,4W,Tata,Model-15,1789383,14,216,2024-08-10
119,Gujarat,District-46,2W,TVS,Model-8,147661,5,220,2023-11-06
120,Maharashtra,District-20,2W,Ola Electric,Model-6,122624,36,360,2025-05-23
121,Maharashtra,District-46,2W,TVS,Model-9,173715,15,453,2023-08-15
122,Karnataka,District-11,2W,Ola Electric,Model-9,122066,4,323,2024-04-30
123,Kerala,District-28,2W,Ather,Model-1,93323,4,137,2025-05-15
124,Maharashtra,District-26,2W,TVS,Model-4,114649,58,395,2024-03-13
125,Delhi,District-47,4W,Tata,Model-10,1369090,27,161,2023-09-06
126,Delhi,District-44,3W,Mahindra,Model-3,231163,16,340,2025-06-03
127,Karnataka,District-48,2W,Ola Electric,Model-18,172850,33,487,2025-08-20
128,Gujarat,District-7,2W,Ather,Model-8,152567,11,64,2024-05-16
129,Uttar Pradesh,District-5,4W,MG,Model-5,1819951,34,324,2025-07-27
130,Maharashtra,District-44,2W,TVS,Model-4,168388,22,568,2023-09-24
131,Kerala,District-22,Cargo,Tata Ace EV,Model-19,391393,23,421,2024-11-25
132,Gujarat,District-2,3W,Piaggio,Model-3,200918,44,385,2023-05-12
133,Tamil Nadu,District-20,2W,Ather,Model-19,95143,18,480,2025-09-25
134,Kerala,District-42,2W,TVS,Model-16,143160,9,425,2024-05-23
135,Maharashtra,District-21,2W,Ather,Model-1,117032,8,409,2025-10-15
136,Maharashtra,District-17,2W,Ola Electric,Model-9,135225,38,115,2023-06-23
137,Delhi,District-14,2W,Bajaj,Model-2,129314,25,573,2024-02-26
138,Karnataka,District-16,3W,Piaggio,Model-10,232441,13,201,2023-09-22
139,Karnataka,District-11,Bus,Ashok Leyland,Model-15,3565006,60,193,2023-04-19
140,Delhi,District-34,2W,Ola Electric,Model-4,126852,28,353,2025-05-13
141,Delhi,District-50,2W,Ola Electric,Model-6,179134,4,298,2024-06-12
142,Delhi,District-26,3W,Piaggio,Model-4,305423,13,459,2023-06-28
143,Maharashtra,District-2,2W,TVS,Model-4,117508,2,76,2023-07-09
144,Karnataka,District-45,3W,Piaggio,Model-6,203571,31,102,2025-10-07
145,Karnataka,District-45,2W,Ather,Model-15,112993,2,130,2023-11-20
146,Maharashtra,District-11,2W,Ather,Model-20,91249,49,454,2025-04-26
147,Rajasthan,District-31,2W,Bajaj,Model-17,92892,40,485,2023-07-20
148,Maharashtra,District-47,2W,Bajaj,Model-6,122824,5,559,2023-10-19
